ID_Lloyds	Name_Lloyds (COUNTRY)	COUNTRY
('6433',)	American Pacific Territories (UMI)	UMI
('6434',)	American Samoa (ASM)	ASM
('4948',)	Amesville (USA)	USA
('702',)	Amfilochia (GRC)	GRC
('8545',)	Amgu (RUS)	RUS
('3441',)	Amherstburg (CAN)	CAN
('8879',)	Amirabad (IRN)	IRN
('4034',)	Amlwch Terminal (GBR)	GBR
('4937',)	Ammassalik (GRL)	GRL
('1124',)	Amorgos (GRC)	GRC
('6474',)	Ampana (IDN)	IDN
('2841',)	Ampenan (IDN)	IDN
('1118',)	Amrum Is. (DEU)	DEU
('843',)	Amsterdam (NLD)	NLD
('3334',)	Amsterdam Is. (ATF)	ATF
('64',)	Amsterdam-Rhine Canal (NLD)	NLD
('4947',)	Amuay Bay (VEN)	VEN
('10391',)	Amuay Bay Anch. (VEN)	VEN
('8403',)	Amurskiy Bay (RUS)	RUS
('5904',)	An Ping (TWN)	TWN
('976',)	Anacortes (USA)	USA
('2376',)	Anadyr (RUS)	RUS
('9427',)	Anafi (GRC)	GRC
('6027',)	Anamur (TUR)	TUR
('1963',)	Anan (JPN)	JPN
('7750',)	Anapa (RUS)	RUS
('8871',)	Anavilhanas (BRA)	BRA
('2213',)	Anchorage (USA)	USA
('5323',)	Ancon (PER)	PER
('5145',)	Ancona (ITA)	ITA
('4792',)	Ancud (CHL)	CHL
('1895',)	Andaman Is. (IND)	IND
('1799',)	Andenes (NOR)	NOR
('4738',)	Andernach (DEU)	DEU
('378',)	Anderton (GBR)	GBR
('9701',)	Andijk (NLD)	NLD
('8655',)	Andres (DOM)	DOM
('3642',)	Andros (GRC)	GRC
('7512',)	Andros Is. (BHS)	BHS
('4856',)	Androth (IND)	IND
('4041',)	Anewa Bay (PNG)	PNG
('4917',)	Anfiskaa (NOR)	NOR
('2922',)	Angaur (PLW)	PLW
('6269',)	Angelholm (SWE)	SWE
('10664',)	Anggrek (IDN)	IDN
('5920',)	Angoche (MOZ)	MOZ
('5229',)	Angola (AGO)	AGO
('9400',)	Angoon (USA)	USA
('3512',)	Angra do Heroismo (AZO)	AZO
('1569',)	Angra dos Reis (BRA)	BRA
('10384',)	Angra dos Reis Anch. (BRA)	BRA
('10701',)	Angre (IND)	IND
('9532',)	Angsi Terminal (MYS)	MYS
('6413',)	Angus Terminal (GBR)	GBR
('3670',)	Anholt (DNK)	DNK
('8178',)	Aniva Bay (RUS)	RUS
('10721',)	Anjung Kecil Field (MYS)	MYS
('6076',)	Ankify (MDG)	MDG
('6397',)	Anklam (DEU)	DEU
('5749',)	Annaba (DZA)	DZA
('4995',)	Annan (GBR)	GBR
('5067',)	Annapolis Anch. (USA)	USA
('2098',)	Annapolis Royal (CAN)	CAN
('3743',)	Annay sous Lens (FRA)	FRA
('8615',)	Annenskiy Most (RUS)	RUS
('6490',)	Anoa Terminal (IDN)	IDN
('5890',)	Anqing (CHN)	CHN
('6054',)	Antalaha (MDG)	MDG
('2385',)	Antalya (TUR)	TUR
('2887',)	Antan Terminal (NGA)	NGA
('4176',)	Antarctica (ATA)	ATA
('2084',)	Antibes (FRA)	FRA
('3648',)	Anticosti Is. (CAN)	CAN
('2083',)	Antifer (FRA)	FRA
('3266',)	Antigua (ATG)	ATG
('6425',)	Antigua & Barbuda (ATG)	ATG
('4744',)	Antilla (CUB)	CUB
('8107',)	Antioch (USA)	USA
('963',)	Antofagasta (CHL)	CHL
('2085',)	Antsiranana (MDG)	MDG
('6141',)	Antsohihy (MDG)	MDG
('576',)	Antwerp (BEL)	BEL
('4272',)	Anyer (IDN)	IDN
('4993',)	Anzio (ITA)	ITA
('9836',)	Ao Udom (THA)	THA
('1792',)	Aola Bay (SLB)	SLB
('5568',)	Aomori (JPN)	JPN
('7510',)	Aotou (CHN)	CHN
('9401',)	Apalichicola (USA)	USA
('90',)	Apapa-Lagos (NGA)	NGA
('10257',)	Apapa-Lagos Anch. (NGA)	NGA
('10488',)	Apapa-Lagos Safe Anch. (NGA)	NGA
('5089',)	Aparri (PHL)	PHL
('6244',)	Apatin (SCG)	SCG
('2278',)	Apia (WSM)	WSM
('5468',)	Appingedam (NLD)	NLD
('488',)	Appledore (GBR)	GBR
('8088',)	Apra (GUM)	GUM
('2980',)	Aputiteq (GRL)	GRL
('5778',)	Aqaba (JOR)	JOR
('7804',)	Aquila Field (ITA)	ITA
('8710',)	Arabi (USA)	USA
('2189',)	Aracaju (BRA)	BRA
('9513',)	Aransas Pass (USA)	USA
('9781',)	Arapahoe (USA)	USA
('10685',)	Arar (IDN)	IDN
('8469',)	Arari (JPN)	JPN
('3863',)	Aratu (BRA)	BRA
('3366',)	Araxos (GRC)	GRC
('4793',)	Araya (VEN)	VEN
('379',)	Arbatax (ITA)	ITA
('4285',)	Arbroath (GBR)	GBR
('1167',)	Arcachon (FRA)	FRA
